V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'P'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'P'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'P'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'B', 'Q'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'B', 'Q'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'B', 'Q'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'B', 'Q'); T_star:[('A', 'X')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('B', 's')]; S_plus:('r', 'A'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('B', 's')]; S_plus:('r', 'A'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('B', 's')]; S_plus:('r', 'A'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('B', 's')]; S_plus:('u', 'C', 'A', 'D'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('B', 's')]; S_plus:('u', 'C', 'A', 'D'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('B', 's')]; S_plus:('u', 'C', 'A', 'D'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'u'), ('B', 's')]; S_plus:('r', 'A', 'P'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'u'), ('B', 's')]; S_plus:('r', 'A', 'P'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'u'), ('B', 's')]; S_plus:('r', 'A', 'P'); T_star:[('B', 'D')]
